+train,test
-210.92578243875647,-201.91080114983208
-159.21549074500888,-196.85601457155522
-215.43081978711186,-206.6224860923757
-169.54675296321636,-165.2681277331498
-211.96986159479823,-185.5389485182997
-214.05492859665674,-190.5773876285297
-190.55104002105412,-169.46674693136185
-171.78322198640447,-229.18376632061518
-193.2685392497954,-206.38292361236245
-190.67686533910037,-192.82170254624396
-146.95275498684708,-170.9824065503195
-190.34086461570155,-196.14350029145072
-166.85826965013655,-214.86278953953948
-168.917018964552,-227.0005202690332
-194.31776719935493,-189.3031641970741
-195.94440125859936,-185.13965767404392
-193.7451592224975,-167.09359658824047
-176.35994321994932,-177.73118360197824
-192.02494133140186,-190.45873350143515
